ATAN2/atan2-negative	=ATAN2(-1, -1)	py=ERR:#NAME?	hf=-2.3561944902	ic=-2.35619449	fo=-2.356194490192345
ATAN2/atan2-on-x-axis	=ATAN2(1, 0)	py=0	hf=0	ic=0	fo=0
ATAN2/atan2-on-y-axis	=ATAN2(0, 1)	py=1.5707963267948966	hf=1.5707963268	ic=1.570796327	fo=1.5707963267948966
ATANH/atanh-at-0	=ATANH(0)	py=0	hf=0	ic=0	fo=0
ATANH/atanh-negative	=ATANH(-0.5)	py=ERR:#NAME?	hf=-0.54930614433	ic=-0.549306144	fo=-0.5493061443340549
ATANH/atanh-positive	=ATANH(0.5)	py=0.5493061443340549	hf=0.54930614433	ic=0.549306144	fo=0.5493061443340549
COS/cos-at-0	=COS(0)	py=1	hf=1	ic=1	fo=1
COS/cos-at-1-radian	=COS(1)	py=0.5403023058681398	hf=0.54030230587	ic=0.540302306	fo=0.5403023058681398
COS/cos-at-pi	=COS(PI())	py=-1	hf=-1	ic=-1	fo=-1
COS/cos-at-pi-2	=COS(PI()/2)	py=ERR:#NAME?	hf=1.6155445743999999e-15	ic=6.12323e-17	fo=6.123233995736766e-17
COS/cos-negative-symmetric	=COS(-PI())	py=ERR:#NAME?	hf=-1	ic=-1	fo=-1
COSH/cosh-at-0	=COSH(0)	py=1	hf=1	ic=1	fo=1
COSH/cosh-at-1	=COSH(1)	py=1.5430806348152437	hf=1.5430806348	ic=1.543080635	fo=1.5430806348152437
COSH/cosh-negative-symmetric	=COSH(-1)	py=ERR:#NAME?	hf=1.5430806348	ic=1.543080635	fo=1.5430806348152437
COT/cot-at-0-error	=COT(0)	py=ERR:#NAME?	hf=ERR:#DIV/0!	ic=ERR:#DIV/0!	fo=ERR:#DIV/0!
COT/cot-at-1-radian	=COT(1)	py=ERR:#NAME?	hf=0.64209261593	ic=0.642092616	fo=0.6420926159343308
COT/cot-at-pi-2	=COT(PI()/2)	py=ERR:#NAME?	hf=1.6155445743999999e-15	ic=6.12323e-17	fo=6.123233995736766e-17
COT/cot-negative	=COT(-1)	py=ERR:#NAME?	hf=-0.64209261593	ic=-0.642092616	fo=-0.6420926159343308
COTH/coth-at-0-error	=COTH(0)	py=ERR:#NAME?	hf=ERR:#DIV/0!	ic=ERR:#DIV/0!	fo=ERR:#DIV/0!
COTH/coth-at-1	=COTH(1)	py=ERR:#NAME?	hf=1.3130352855	ic=1.313035285	fo=1.3130352854993315
COTH/coth-negative	=COTH(-1)	py=ERR:#NAME?	hf=-1.3130352855	ic=-1.313035285	fo=-1.3130352854993315
COUNTIFS/countifs-exact-match	=COUNTIFS(A1:A3, 5)	py=2	hf=2	ic=2	fo=2
COUNTIFS/countifs-no-match	=COUNTIFS(A1:A2, ">10")	py=0	hf=0	ic=0	fo=0
COUNTIFS/countifs-single-criterion	=COUNTIFS(A1:A4, ">2")	py=2	hf=2	ic=2	fo=2
COUNTIFS/countifs-two-criteria	=COUNTIFS(A1:A4, ">1", B1:B4, "x")	py=2	hf=2	ic=2	fo=2
CSC/csc-at-0-error	=CSC(0)	py=ERR:#NAME?	hf=ERR:#DIV/0!	ic=ERR:#DIV/0!	fo=ERR:#DIV/0!
CSC/csc-at-1-radian	=CSC(1)	py=ERR:#NAME?	hf=1.1883951058	ic=1.188395106	fo=1.1883951057781212
CSCH/csch-at-0-error	=CSCH(0)	py=ERR:#NAME?	hf=ERR:#DIV/0!	ic=ERR:#DIV/0!	fo=ERR:#DIV/0!
CSCH/csch-at-1	=CSCH(1)	py=ERR:#NAME?	hf=0.85091812824	ic=0.850918128	fo=0.8509181282393216
CSCH/csch-negative	=CSCH(-1)	py=ERR:#NAME?	hf=-0.85091812824	ic=-0.850918128	fo=-0.8509181282393216
DEGREES/degrees-negative	=DEGREES(-PI())	py=ERR:#NAME?	hf=-180	ic=-180	fo=-180
DEGREES/degrees-of-0	=DEGREES(0)	py=0	hf=0	ic=0	fo=0
DEGREES/degrees-of-pi	=DEGREES(PI())	py=180	hf=180	ic=180	fo=180
DEGREES/degrees-of-pi-2	=DEGREES(PI()/2)	py=ERR:#NAME?	hf=90	ic=90	fo=90
ERFC.PRECISE/erfc-precise-at-1	=ERFC.PRECISE(1)	py=ERR:#NAME?	hf=ERR:#NAME?	ic=0.157299207	fo=0.15729920705028516
ERFC.PRECISE/erfc-precise-at-2	=ERFC.PRECISE(2)	py=ERR:#NAME?	hf=ERR:#NAME?	ic=0.004677735	fo=0.0046777349810472645
ERFC/erfc-at-0	=ERFC(0)	py=1	hf=1	ic=1	fo=1
ERFC/erfc-at-1	=ERFC(1)	py=0.15729920705028516	hf=0.15729920705	ic=0.157299207	fo=0.15729920705028516
ERFC/erfc-negative	=ERFC(-1)	py=ERR:#NAME?	hf=1.8427007929	ic=1.842700793	fo=1.8427007929497148
FACTDOUBLE/factdouble-of-0	=FACTDOUBLE(0)	py=1	hf=1	ic=1	fo=1
GAMMALN.PRECISE/gammaln-precise-at-5	=GAMMALN.PRECISE(5)	py=ERR:#NAME?	hf=3.1780538303	ic=3.17805383	fo=3.1780538303479444
GAMMALN/gammaln-at-5	=GAMMALN(5)	py=ERR:#NAME?	hf=3.1780538303	ic=3.17805383	fo=3.1780538303479444
GCD/gcd-basic	=GCD(12, 18)	py=6	hf=6	ic=6	fo=6
GCD/gcd-coprime	=GCD(7, 13)	py=1	hf=1	ic=1	fo=1
GCD/gcd-multiple-args	=GCD(24, 36, 60)	py=12	hf=12	ic=12	fo=12
GCD/gcd-with-zero	=GCD(0, 8)	py=8	hf=8	ic=8	fo=8
IMLN/imln-of-complex	=IMLN("3+4i")	py=ERR:#NAME?	hf=STR:1.6094379124341003+0.9272952180016122i	ic=STR:1.6094379124341+0.927295218001612i	fo=STR:1.6094379124341003+0.9272952180016122i
IMLN/imln-of-i	=IMLN("i")	py=ERR:#NAME?	hf=STR:1.5707963267948966i	ic=STR:1.5707963267949i	fo=STR:1.5707963267948966i
IMLN/imln-of-real	=IMLN("1")	py=ERR:#NAME?	hf=STR:0	ic=STR:0	fo=STR:0
IMPOWER/impower-of-i-squared	=IMPOWER("i", 2)	py=ERR:#NAME?	hf=STR:-1+1.2246467991473532e-16i	ic=STR:-1+0.000000000000000122464679914735i	fo=STR:-1
IMPOWER/impower-squared	=IMPOWER("2+3i", 2)	py=ERR:#NAME?	hf=STR:-5+12i	ic=STR:-5+12i	fo=STR:-5+12i
IMPOWER/impower-zeroth	=IMPOWER("2+3i", 0)	py=ERR:#NAME?	hf=STR:1	ic=STR:1	fo=STR:1
IMSQRT/imsqrt-of-complex	=IMSQRT("3+4i")	py=ERR:#NAME?	hf=STR:2+i	ic=STR:2+i	fo=STR:2+i
IMSQRT/imsqrt-of-i	=IMSQRT("i")	py=ERR:#NAME?	hf=STR:0.7071067811865476+0.7071067811865475i	ic=STR:0.707106781186548+0.707106781186547i	fo=STR:0.7071067811865476+0.7071067811865475i
IMSQRT/imsqrt-of-real	=IMSQRT("4")	py=ERR:#NAME?	hf=STR:2	ic=STR:2	fo=STR:2
ISEVEN/iseven-even	=ISEVEN(4)	py=BOOL:true	hf=BOOL:true	ic=BOOL:true	fo=BOOL:true
ISEVEN/iseven-negative-even	=ISEVEN(-2)	py=ERR:#NAME?	hf=BOOL:true	ic=BOOL:true	fo=BOOL:true
ISEVEN/iseven-odd	=ISEVEN(3)	py=BOOL:false	hf=BOOL:false	ic=BOOL:false	fo=BOOL:false
ISEVEN/iseven-zero	=ISEVEN(0)	py=BOOL:true	hf=BOOL:true	ic=BOOL:true	fo=BOOL:true
ISODD/isodd-even	=ISODD(4)	py=BOOL:false	hf=BOOL:false	ic=BOOL:false	fo=BOOL:false
ISODD/isodd-odd	=ISODD(3)	py=BOOL:true	hf=BOOL:true	ic=BOOL:true	fo=BOOL:true
ISODD/isodd-zero	=ISODD(0)	py=BOOL:false	hf=BOOL:false	ic=BOOL:false	fo=BOOL:false
LCM/lcm-basic	=LCM(4, 6)	py=12	hf=12	ic=12	fo=12
LCM/lcm-coprime	=LCM(3, 5)	py=15	hf=15	ic=15	fo=15
LCM/lcm-multiple-args	=LCM(2, 3, 4)	py=12	hf=12	ic=12	fo=12
LCM/lcm-with-one	=LCM(1, 7)	py=7	hf=7	ic=7	fo=7
MUNIT/munit-zero-error	=MUNIT(0)	py=ERR:#NAME?	hf=ERR:#NAME?	ic=ERR:#NAME?	fo=ERR:#VALUE!
ODD/odd-negative	=ODD(-1.5)	py=ERR:#NAME?	hf=-3	ic=-3	fo=-3
ODD/odd-of-2	=ODD(2)	py=3	hf=3	ic=3	fo=3
ODD/odd-positive-integer	=ODD(3)	py=3	hf=3	ic=3	fo=3
ODD/odd-rounds-up	=ODD(1.5)	py=3	hf=3	ic=3	fo=3
RADIANS/radians-of-0	=RADIANS(0)	py=0	hf=0	ic=0	fo=0
RAND/rand-smoke	=RAND()	py=ERR:#NAME?	hf=0.78551088635	ic=0.215459519	fo=0.526848033247084
RANDBETWEEN/randbetween-smoke	=RANDBETWEEN(1, 10)	py=ERR:#NAME?	hf=3	ic=2	fo=3.535053013864343
SEC/sec-at-1-radian	=SEC(1)	py=ERR:#NAME?	hf=1.8508157177	ic=1.850815718	fo=1.8508157176809255
SECH/sech-at-1	=SECH(1)	py=ERR:#NAME?	hf=0.64805427366	ic=0.648054274	fo=0.6480542736638855
SECH/sech-negative	=SECH(-1)	py=ERR:#NAME?	hf=0.64805427366	ic=0.648054274	fo=0.6480542736638855
SIN/sin-at-0	=SIN(0)	py=0	hf=0	ic=0	fo=0
SIN/sin-at-1-radian	=SIN(1)	py=0.8414709848078965	hf=0.84147098481	ic=0.841470985	fo=0.8414709848078965
SIN/sin-at-pi	=SIN(PI())	py=1.2246467991473532e-16	hf=3.2310891488999997e-15	ic=1.22465e-16	fo=1.2246467991473532e-16
SIN/sin-at-pi-2	=SIN(PI()/2)	py=ERR:#NAME?	hf=1	ic=1	fo=1
SIN/sin-negative	=SIN(-PI()/2)	py=ERR:#NAME?	hf=-1	ic=-1	fo=-1
SINH/sinh-at-0	=SINH(0)	py=0	hf=0	ic=0	fo=0
SINH/sinh-at-1	=SINH(1)	py=1.1752011936438014	hf=1.1752011936	ic=1.175201194	fo=1.1752011936438014
SINH/sinh-negative	=SINH(-1)	py=ERR:#NAME?	hf=-1.1752011936	ic=-1.175201194	fo=-1.1752011936438014
SQRTPI/sqrtpi-of-1	=SQRTPI(1)	py=ERR:#NAME?	hf=1.7724538509	ic=1.772453851	fo=1.7724538509055159
SQRTPI/sqrtpi-of-2	=SQRTPI(2)	py=ERR:#NAME?	hf=2.5066282746	ic=2.506628275	fo=2.5066282746310002
TAN/tan-at-0	=TAN(0)	py=0	hf=0	ic=0	fo=0
TAN/tan-at-1-radian	=TAN(1)	py=1.557407724654902	hf=1.5574077247	ic=1.557407725	fo=1.557407724654902
TAN/tan-at-pi	=TAN(PI())	py=-1.2246467991473532e-16	hf=-3.2310891488999997e-15	ic=-1.22465e-16	fo=-1.2246467991473532e-16
TAN/tan-negative	=TAN(-1)	py=ERR:#NAME?	hf=-1.5574077247	ic=-1.557407725	fo=-1.557407724654902
TANH/tanh-at-0	=TANH(0)	py=0	hf=0	ic=0	fo=0
TANH/tanh-at-1	=TANH(1)	py=0.7615941559557649	hf=0.76159415596	ic=0.761594156	fo=0.7615941559557649
TANH/tanh-negative	=TANH(-1)	py=ERR:#NAME?	hf=-0.76159415596	ic=-0.761594156	fo=-0.7615941559557649
